Name,Start,Stop
chr_2828,1,376
chr_4312,377,627
chr_4575,628,1060
chr_4599,1061,1474
chr_4660,1475,1768
chr_4748,1769,2413
chr_4758,2414,2695
chr_4790,2696,3143
chr_5022,3144,3476
chr_5678,3477,3948
chr_5708,3949,4234
chr_5739,4235,4568
chr_1410,4569,5031
chr_1600,5032,5467
chr_1757,5468,5786
